Repository_Name,Owner,Description,URL,Programming_Language,Creation_Date,Last_Updated_Date,Number_of_Stars,Number_of_Forks,Number_of_Open_Issues,License_Type
tesseract,tesseract-ocr,Tesseract Open Source OCR Engine (main repository),https://github.com/tesseract-ocr/tesseract,C++,2014-08-12 18:04:59+00:00,2024-10-08 11:46:18+00:00,61428,9424,424,Apache License 2.0
scikit-learn,scikit-learn,scikit-learn: machine learning in Python,https://github.com/scikit-learn/scikit-learn,Python,2010-08-17 09:43:38+00:00,2024-10-08 11:03:03+00:00,59682,25317,2139,"BSD 3-Clause ""New"" or ""Revised"" License"
awesome-scalability,binhnguyennus,"The Patterns of Scalable, Reliable, and Performant Large-Scale Systems",https://github.com/binhnguyennus/awesome-scalability,,2017-12-27 03:46:40+00:00,2024-10-08 10:09:18+00:00,58472,6020,18,MIT License
annotated_deep_learning_paper_implementations,labmlai,"🧑‍🏫 60+ Implementations/tutorials of deep learning papers with side-by-side notes 📝; including transformers (original, xl, switch, feedback, vit, ...), optimizers (adam, adabelief, sophia, ...), gans(cyclegan, stylegan2, ...), 🎮 reinforcement learning (ppo, dqn), capsnet, distillation, ... 🧠",https://github.com/labmlai/annotated_deep_learning_paper_implementations,Python,2020-08-25 02:29:34+00:00,2024-10-08 11:46:18+00:00,54568,5631,29,MIT License
face_recognition,ageitgey,The world's simplest facial recognition api for Python and the command line,https://github.com/ageitgey/face_recognition,Python,2017-03-03 21:52:39+00:00,2024-10-08 11:46:19+00:00,53065,13454,792,MIT License
faceswap,deepfakes,Deepfakes Software For All,https://github.com/deepfakes/faceswap,Python,2017-12-19 09:44:13+00:00,2024-10-08 10:57:16+00:00,52055,13183,28,GNU General Public License v3.0
yolov5,ultralytics,YOLOv5 🚀 in PyTorch > ONNX > CoreML > TFLite,https://github.com/ultralytics/yolov5,Python,2020-05-18 03:45:11+00:00,2024-10-08 11:39:09+00:00,50055,16178,140,GNU Affero General Public License v3.0
julia,JuliaLang,The Julia Programming Language,https://github.com/JuliaLang/julia,Julia,2011-04-21 07:01:50+00:00,2024-10-08 11:46:17+00:00,45553,5473,5168,MIT License
100-Days-Of-ML-Code,Avik-Jain,100 Days of ML Coding,https://github.com/Avik-Jain/100-Days-Of-ML-Code,,2018-07-05 09:11:43+00:00,2024-10-08 11:16:14+00:00,44932,10527,62,MIT License
TensorFlow-Examples,aymericdamien,TensorFlow Tutorial and Examples for Beginners (support TF v1 & v2),https://github.com/aymericdamien/TensorFlow-Examples,Jupyter Notebook,2015-11-11 14:21:19+00:00,2024-10-08 11:46:18+00:00,43380,14946,222,Other
llm-course,mlabonne,Course to get into Large Language Models (LLMs) with roadmaps and Colab notebooks.,https://github.com/mlabonne/llm-course,Jupyter Notebook,2023-06-17 22:16:25+00:00,2024-10-08 11:22:29+00:00,37865,3987,52,Apache License 2.0
Made-With-ML,GokuMohandas,"Learn how to design, develop, deploy and iterate on production-grade ML applications.",https://github.com/GokuMohandas/Made-With-ML,Jupyter Notebook,2018-11-05 03:44:27+00:00,2024-10-08 01:57:49+00:00,37226,5895,20,MIT License
Open-Assistant,LAION-AI,"OpenAssistant is a chat-based assistant that understands tasks, can interact with third-party systems, and retrieve information dynamically to do so.",https://github.com/LAION-AI/Open-Assistant,Python,2022-12-13 05:24:17+00:00,2024-10-08 11:46:17+00:00,36996,3226,290,Apache License 2.0
airflow,apache,"Apache Airflow - A platform to programmatically author, schedule, and monitor workflows",https://github.com/apache/airflow,Python,2015-04-13 18:04:58+00:00,2024-10-08 11:44:30+00:00,36594,14168,1192,Apache License 2.0
DeepSpeed,microsoft,"DeepSpeed is a deep learning optimization library that makes distributed training and inference easy, efficient, and effective.",https://github.com/microsoft/DeepSpeed,Python,2020-01-23 18:35:18+00:00,2024-10-08 11:47:02+00:00,35006,4060,1116,Apache License 2.0
streamlit,streamlit,Streamlit — A faster way to build and share data apps.,https://github.com/streamlit/streamlit,Python,2019-08-24 00:14:52+00:00,2024-10-08 06:50:34+00:00,34979,3031,964,Apache License 2.0
photoprism,photoprism,AI-Powered Photos App for the Decentralized Web 🌈💎✨,https://github.com/photoprism/photoprism,Go,2018-01-27 12:00:15+00:00,2024-10-08 09:29:27+00:00,34944,1916,469,Other
AI-For-Beginners,microsoft,"12 Weeks, 24 Lessons, AI for All!",https://github.com/microsoft/AI-For-Beginners,Jupyter Notebook,2021-03-03 16:27:36+00:00,2024-10-08 10:17:39+00:00,34353,5743,57,MIT License
caffe,BVLC,Caffe: a fast open framework for deep learning.,https://github.com/BVLC/caffe,C++,2013-09-12 18:39:48+00:00,2024-10-08 11:19:48+00:00,34065,18697,1187,Other
google-research,google-research,Google Research,https://github.com/google-research/google-research,Jupyter Notebook,2018-10-04 18:42:48+00:00,2024-10-08 11:46:19+00:00,34006,7856,1478,Apache License 2.0
d3,d3,"Bring data to life with SVG, Canvas and HTML. :bar_chart::chart_with_upwards_trend::tada:",https://github.com/d3/d3,Shell,2010-09-27 17:22:42+00:00,2024-10-08 11:15:27+00:00,108559,22861,15,ISC License
netdata,netdata,"Architected for speed. Automated for easy. Monitoring and troubleshooting, transformed!",https://github.com/netdata/netdata,C,2013-06-17 18:39:10+00:00,2024-10-08 11:31:47+00:00,71348,5890,213,GNU General Public License v3.0
grafana,grafana,"The open and composable observability and data visualization platform. Visualize metrics, logs, and traces from multiple sources like Prometheus, Loki, Elasticsearch, InfluxDB, Postgres and many more. ",https://github.com/grafana/grafana,TypeScript,2013-12-11 15:59:56+00:00,2024-10-08 11:48:55+00:00,64279,12027,4139,GNU Affero General Public License v3.0
superset,apache,Apache Superset is a Data Visualization and Data Exploration Platform,https://github.com/apache/superset,TypeScript,2015-07-21 18:55:34+00:00,2024-10-08 11:47:23+00:00,62103,13630,980,Apache License 2.0
echarts,apache,"Apache ECharts is a powerful, interactive charting and data visualization library for browser",https://github.com/apache/echarts,TypeScript,2013-04-03 03:18:59+00:00,2024-10-08 08:27:52+00:00,60318,19608,2166,Apache License 2.0
pixijs,pixijs,"The HTML5 Creation Engine: Create beautiful digital content with the fastest, most flexible 2D WebGL renderer.",https://github.com/pixijs/pixijs,TypeScript,2013-01-21 22:40:50+00:00,2024-10-08 10:50:55+00:00,43702,4764,381,MIT License
metabase,metabase,"The simplest, fastest way to get business intelligence and analytics to everyone in your company :yum:",https://github.com/metabase/metabase,Clojure,2015-02-02 19:25:47+00:00,2024-10-08 11:46:15+00:00,38346,5088,4200,Other
streamlit,streamlit,Streamlit — A faster way to build and share data apps.,https://github.com/streamlit/streamlit,Python,2019-08-24 00:14:52+00:00,2024-10-08 06:50:34+00:00,34979,3031,964,Apache License 2.0
gradio,gradio-app,"Build and share delightful machine learning apps, all in Python. 🌟 Star to support our work!",https://github.com/gradio-app/gradio,Python,2018-12-19 08:24:04+00:00,2024-10-08 11:52:24+00:00,32572,2449,555,Apache License 2.0
jsoncrack.com,AykutSarac,"✨ Innovative and open-source visualization application that transforms various data formats, such as JSON, YAML, XML, CSV and more, into interactive graphs.",https://github.com/AykutSarac/jsoncrack.com,TypeScript,2022-01-30 15:25:18+00:00,2024-10-08 11:47:31+00:00,30696,2014,28,Other
Data-Science-For-Beginners,microsoft,"10 Weeks, 20 Lessons, Data Science for All!",https://github.com/microsoft/Data-Science-For-Beginners,Jupyter Notebook,2021-03-03 16:30:15+00:00,2024-10-08 11:46:16+00:00,27882,5762,55,MIT License
directus,directus,"The flexible backend for all your projects 🐰 Turn your DB into a headless CMS, admin panels, or apps with a custom UI, instant APIs, auth & more.",https://github.com/directus/directus,TypeScript,2012-12-12 01:35:36+00:00,2024-10-08 11:27:34+00:00,27397,3828,523,Other
redash,getredash,"Make Your Company Data Driven. Connect to any data source, easily visualize, dashboard and share your data.",https://github.com/getredash/redash,Python,2013-10-28 13:19:39+00:00,2024-10-08 11:35:28+00:00,26126,4355,643,"BSD 2-Clause ""Simplified"" License"
awesome-datascience,academic,:memo: An awesome Data Science repository to learn and apply for real world problems.,https://github.com/academic/awesome-datascience,,2014-07-05 07:07:43+00:00,2024-10-08 07:25:00+00:00,24849,5870,0,MIT License
dash,plotly,Data Apps & Dashboards for Python. No JavaScript Required.,https://github.com/plotly/dash,Python,2015-04-10 01:53:08+00:00,2024-10-08 11:47:31+00:00,21288,2052,482,MIT License
matplotlib,matplotlib,matplotlib: plotting with Python,https://github.com/matplotlib/matplotlib,Python,2011-02-19 03:17:12+00:00,2024-10-08 09:40:37+00:00,20080,7598,1595,No license
visx,airbnb,🐯 visx | visualization components,https://github.com/airbnb/visx,TypeScript,2017-03-15 16:25:41+00:00,2024-10-08 11:15:52+00:00,19399,712,150,MIT License
bokeh,bokeh,"Interactive Data Visualization in the browser, from  Python",https://github.com/bokeh/bokeh,TypeScript,2012-03-26 15:40:01+00:00,2024-10-08 01:19:19+00:00,19271,4178,760,"BSD 3-Clause ""New"" or ""Revised"" License"
dataease,dataease,🔥 人人可用的开源 BI 工具，Tableau、帆软的开源替代。,https://github.com/dataease/dataease,Java,2021-02-02 04:10:21+00:00,2024-10-08 10:36:01+00:00,17549,3187,371,GNU General Public License v3.0
thingsboard,thingsboard,"Open-source IoT Platform - Device management, data collection, processing and visualization.",https://github.com/thingsboard/thingsboard,Java,2016-12-01 09:33:30+00:00,2024-10-08 11:02:52+00:00,17366,5121,788,Apache License 2.0
plotly.js,plotly,Open-source JavaScript charting library behind Plotly and Dash,https://github.com/plotly/plotly.js,JavaScript,2015-11-05 23:27:17+00:00,2024-10-08 08:59:04+00:00,16939,1855,612,MIT License
best-of-ml-python,ml-tooling,🏆 A ranked list of awesome machine learning Python libraries. Updated weekly.,https://github.com/ml-tooling/best-of-ml-python,,2020-11-29 19:41:36+00:00,2024-10-08 08:52:32+00:00,16319,2359,27,Creative Commons Attribution Share Alike 4.0 International
apexcharts.js,apexcharts,📊 Interactive JavaScript Charts built on SVG,https://github.com/apexcharts/apexcharts.js,JavaScript,2018-07-24 15:22:23+00:00,2024-10-07 14:41:22+00:00,14274,1297,322,MIT License
awesome-bigdata,oxnr,"A curated list of awesome big data frameworks, ressources and other awesomeness.",https://github.com/oxnr/awesome-bigdata,,2014-07-04 15:01:03+00:00,2024-10-08 03:03:40+00:00,13175,2549,39,MIT License
awesome-creative-coding,terkelg,"Creative Coding: Generative Art, Data visualization, Interaction Design, Resources.",https://github.com/terkelg/awesome-creative-coding,HTML,2016-11-01 23:50:27+00:00,2024-10-08 09:23:17+00:00,12803,871,1,No license
taipy,Avaiga,Turns Data and AI algorithms into production-ready web applications in no time.,https://github.com/Avaiga/taipy,Python,2022-02-18 15:55:45+00:00,2024-10-08 11:50:36+00:00,12700,954,146,Apache License 2.0
seaborn,mwaskom,Statistical data visualization in Python,https://github.com/mwaskom/seaborn,Python,2012-06-18 18:41:19+00:00,2024-10-07 21:38:17+00:00,12456,1916,178,"BSD 3-Clause ""New"" or ""Revised"" License"
deck.gl,visgl,WebGL2 powered visualization framework,https://github.com/visgl/deck.gl,TypeScript,2015-12-15 08:38:29+00:00,2024-10-08 05:30:49+00:00,12147,2083,343,MIT License
sigma.js,jacomyal,A JavaScript library aimed at visualizing graphs of thousands of nodes and edges,https://github.com/jacomyal/sigma.js,TypeScript,2012-03-11 15:17:40+00:00,2024-10-08 01:45:39+00:00,11236,1586,25,MIT License
G6,antvis,♾ A Graph Visualization Framework in JavaScript.,https://github.com/antvis/G6,TypeScript,2017-02-13 10:00:43+00:00,2024-10-08 11:38:40+00:00,11060,1312,148,MIT License
tensorflow,tensorflow,An Open Source Machine Learning Framework for Everyone,https://github.com/tensorflow/tensorflow,C++,2015-11-07 01:19:20+00:00,2024-10-08 11:51:32+00:00,185875,74234,5112,Apache License 2.0
stable-diffusion-webui,AUTOMATIC1111,Stable Diffusion web UI,https://github.com/AUTOMATIC1111/stable-diffusion-webui,Python,2022-08-22 14:05:26+00:00,2024-10-08 11:02:26+00:00,140824,26638,2294,GNU Affero General Public License v3.0
transformers,huggingface,"🤗 Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",https://github.com/huggingface/transformers,Python,2018-10-29 13:56:00+00:00,2024-10-08 11:46:15+00:00,133060,26554,1451,Apache License 2.0
pytorch,pytorch,Tensors and Dynamic neural networks in Python with strong GPU acceleration,https://github.com/pytorch/pytorch,Python,2016-08-13 05:26:41+00:00,2024-10-08 11:46:19+00:00,82752,22296,15046,Other
opencv,opencv,Open Source Computer Vision Library,https://github.com/opencv/opencv,C++,2012-07-19 09:40:17+00:00,2024-10-08 11:08:06+00:00,78404,55748,2663,Apache License 2.0
cs-video-courses,Developer-Y,List of Computer Science courses with video lectures.,https://github.com/Developer-Y/cs-video-courses,,2016-10-21 17:02:11+00:00,2024-10-08 08:54:24+00:00,66879,9092,4,No license
d2l-zh,d2l-ai,《动手学深度学习》：面向中文读者、能运行、可讨论。中英文版被70多个国家的500多所大学用于教学。,https://github.com/d2l-ai/d2l-zh,Python,2017-08-23 04:40:24+00:00,2024-10-08 11:15:50+00:00,61900,10901,84,Apache License 2.0
keras,keras-team,Deep Learning for humans,https://github.com/keras-team/keras,Python,2015-03-28 00:35:42+00:00,2024-10-08 11:44:26+00:00,61734,19434,252,Apache License 2.0
annotated_deep_learning_paper_implementations,labmlai,"🧑‍🏫 60+ Implementations/tutorials of deep learning papers with side-by-side notes 📝; including transformers (original, xl, switch, feedback, vit, ...), optimizers (adam, adabelief, sophia, ...), gans(cyclegan, stylegan2, ...), 🎮 reinforcement learning (ppo, dqn), capsnet, distillation, ... 🧠",https://github.com/labmlai/annotated_deep_learning_paper_implementations,Python,2020-08-25 02:29:34+00:00,2024-10-08 11:46:18+00:00,54568,5631,29,MIT License
DeepLearning-500-questions,scutan90,深度学习500问，以问答形式对常用的概率知识、线性代数、机器学习、深度学习、计算机视觉等热点问题进行阐述，以帮助自己及有需要的读者。 全书分为18个章节，50余万字。由于水平有限，书中不妥之处恳请广大读者批评指正。   未完待续............ 如有意合作，联系scutjy2015@163.com                     版权所有，违权必究       Tan 2018.06,https://github.com/scutan90/DeepLearning-500-questions,JavaScript,2018-06-27 06:36:45+00:00,2024-10-08 10:25:36+00:00,54379,15835,118,GNU General Public License v3.0
Real-Time-Voice-Cloning,CorentinJ,Clone a voice in 5 seconds to generate arbitrary speech in real-time,https://github.com/CorentinJ/Real-Time-Voice-Cloning,Python,2019-05-26 08:56:15+00:00,2024-10-08 11:45:27+00:00,52331,8752,209,Other
faceswap,deepfakes,Deepfakes Software For All,https://github.com/deepfakes/faceswap,Python,2017-12-19 09:44:13+00:00,2024-10-08 10:57:16+00:00,52055,13183,28,GNU General Public License v3.0
